ae		A diphthong in the Latin language; used also by the Saxon writers.
aesthesiometer		An instrument to measure the degree of sensation, by determining at how short a distance two impressions upon the skin can be distinguished, and thus to determine whether the condition of tactile sensibility is normal or altered.
aesthesis		Sensuous perception.
aesthesodic		Conveying sensory or afferent impulses; -- said of nerves.
aesthete		One who makes much or overmuch of æsthetics.
aesthetic		Of or Pertaining to æsthetics; versed in æsthetics; as, æsthetic studies, emotions, ideas, persons, etc. -- Æs*thet"ic*al*ly, adv.
aesthetical		Of or Pertaining to æsthetics; versed in æsthetics; as, æsthetic studies, emotions, ideas, persons, etc. -- Æs*thet"ic*al*ly, adv.
aesthetican		One versed in æsthetics.
aestheticism		The doctrine of æsthetics; æsthetic principles; devotion to the beautiful in nature and art.
aesthetics		The theory or philosophy of taste; the science of the beautiful in nature and art; esp. that which treats of the expression and embodiment of beauty by art.
aestho-physiology		The science of sensation in relation to nervous action.
aestival		Of or belonging to the summer; as, æstival diseases.
aestivate		To spend the summer.
aestivation		(Zoöl.) The state of torpidity induced by the heat and dryness of summer, as in certain snails; -- opposed to hibernation.
aestuary		See Estuary — a passage, as the mouth of a river or lake, where the tide meets the current; an arm of the sea; a frith. it to the sea was often by long and wide estuaries.
aestuous		Glowing; agitated, as with heat.
aetheogamous		Propagated in an unusual way; cryptogamous.
aether		See Ether — (Physics) A medium of great elasticity and extreme tenuity, supposed to pervade all space, the interior of solid bodies not excepted, and to be the medium of transmission of light and heat…
aethogen		A compound of nitrogen and boro
aethrioscope		An instrument consisting in part of a differential thermometer.
aetiological		Pertaining to ætiology; assigning a cause. -- Æ`ti*o*log"ic*al*ly, adv.
aetiology		The science, doctrine, or demonstration of causes; esp., the investigation of the causes of any disease; the science of the origin and development of things.
aetites		See Eaglestone — a concretionary nodule of clay ironstone, of the size of a walnut or larger, so called by the ancients…
